base_name,variation
customer_id,custid
customer_id,CustomerID
customer_id,cust_id
customer_id,customer-id
customer_id,CustID
customer_id,customer_id
customer_id,custID
customer_id,Customer_Id
customer_id,customerID
customer_id,cust_id_
customer_id,custi
customer_id,custm_id
customer_id,custo_id
customer_id,custome_id
customer_id,customr_id
customer_id,cust
customer_id,cid
customer_id,cust_
customer_id,c_id
customer_id,custid_
customer_id,customers_id
customer_id,customer_ids
customer_id,cust_ids
customer_id,cust_id_list
customer_id,cust-id
customer_id,cust.id
customer_id,cust_id_
customer_id,cust-id_
customer_id,cust.id_
customer_id,user_customer_id
customer_id,client_cust_id
customer_id,cust_id_info
customer_id,cust_id_data
customer_id,CUSTOMER_ID
customer_id,CustomerId
customer_id,customerID
customer_id,Customer_Id
customer_id,customer_id_field
customer_id,cust_id_value
customer_id,customer_id_data
first_name,firstName
first_name,fname
first_name,firstname
first_name,First_Name
first_name,f_name
first_name,first name
first_name,FirstName
first_name,FName
first_name,first_Name
first_name,firstname_
first_name,frstname
first_name,firsname
first_name,firtnam
first_name,firtname
first_name,fistname
first_name,fn
first_name,fname_
first_name,f_n
first_name,f_name_
first_name,firstname_
first_name,first-name
first_name,first.name
first_name,first_name_
first_name,first-name_
first_name,first.name_
first_name,user_first_name
first_name,client_fname
first_name,fname_info
first_name,fname_data
first_name,FIRST_NAME
first_name,FirstName
first_name,firstName
first_name,First_name
first_name,first_name_field
first_name,fname_value
first_name,first_name_data
last_name,lastName
last_name,lname
last_name,lastname
last_name,Last_Name
last_name,l_name
last_name,last name
last_name,LastName
last_name,LName
last_name,last_Name
last_name,lastname_
last_name,lasname
last_name,lstname
last_name,latsname
last_name,lastnme
last_name,latname
last_name,ln
last_name,lname_
last_name,l_n
last_name,l_name_
last_name,lastname_
last_name,last-name
last_name,last.name
last_name,last_name_
last_name,last-name_
last_name,last.name_
last_name,user_last_name
last_name,client_lname
last_name,lname_info
last_name,lname_data
last_name,LAST_NAME
last_name,LastName
last_name,lastName
last_name,Last_name
last_name,last_name_field
last_name,lname_value
last_name,last_name_data
email,email_addr
email,email_address
email,Email
email,e-mail
email,emailAddress
email,email_id
email,emailID
email,email-id
email,email_
email,email address
email,emial
email,eail
email,emaill
email,emai
email,e-mailaddress
email,em
email,e_addr
email,e_mail
email,email_
email,e_address
email,emails
email,email_list
email,email_addresses
email,email_addrs
email,email-address
email,email.address
email,email_address_
email,email-address_
email,email.address_
email,user_email
email,client_email
email,email_info
email,email_data
email,email-address
email,email.address
email,email_address_
email,email-address_
email,email.address_
email,EMAIL
email,EmailAddr
email,emailAddress
email,Email_Address
email,email_field
email,email_value
email,email_data
phone_number,phone
phone_number,PhoneNum
phone_number,phone_no
phone_number,phone-number
phone_number,Phone_Number
phone_number,phonenumber
phone_number,phone_num
phone_number,PhoneNo
phone_number,phoneNumber
phone_number,phone number
